GEOID,NAME,variable,year_2016,year_2021,pct_points_change
4109535,"Bull Mountain CDP, Oregon",Hispanic,6.60,5.48,-1.12
4109535,"Bull Mountain CDP, Oregon",Native,0.00,0.40,0.40
4109535,"Bull Mountain CDP, Oregon",Two_races,3.93,3.59,-0.34
4109535,"Bull Mountain CDP, Oregon",White,76.65,77.18,0.53
4110750,"Canby city, Oregon",Asian,2.22,1.36,-0.87
4110750,"Canby city, Oregon",Black,0.08,0.54,0.47
4110750,"Canby city, Oregon",HIPI,0.00,0.00,0.00
4110750,"Canby city, Oregon",Hispanic,20.05,17.80,-2.25
4110750,"Canby city, Oregon",Native,0.17,0.32,0.15
4110750,"Canby city, Oregon",Two_races,3.28,7.47,4.19
4110750,"Canby city, Oregon",White,74.81,75.91,1.10
4112050,"Cedar Hills CDP, Oregon",Asian,4.68,4.01,-0.68
4112050,"Cedar Hills CDP, Oregon",Black,0.80,3.59,2.79
4112050,"Cedar Hills CDP, Oregon",HIPI,0.00,0.09,0.09
4112050,"Cedar Hills CDP, Oregon",Hispanic,11.81,26.20,14.39
4112050,"Cedar Hills CDP, Oregon",Native,0.00,0.73,0.73
4112050,"Cedar Hills CDP, Oregon",Two_races,1.98,10.10,8.12
4112050,"Cedar Hills CDP, Oregon",White,80.69,60.29,-20.40
4112150,"Cedar Mill CDP, Oregon",Asian,16.58,17.53,0.96
4112150,"Cedar Mill CDP, Oregon",Black,1.25,2.14,0.89
4112150,"Cedar Mill CDP, Oregon",HIPI,0.19,0.05,-0.15
4112150,"Cedar Mill CDP, Oregon",Hispanic,3.44,5.81,2.37
4112150,"Cedar Mill CDP, Oregon",Native,0.00,0.22,0.22
4112150,"Cedar Mill CDP, Oregon",Two_races,4.98,7.89,2.91
4112150,"Cedar Mill CDP, Oregon",White,73.28,68.33,-4.95
4112850,"Cherry Grove CDP, Oregon",Asian,NA,2.02,NA
4112850,"Cherry Grove CDP, Oregon",Black,NA,0.00,NA
4112850,"Cherry Grove CDP, Oregon",HIPI,NA,0.00,NA
4112850,"Cherry Grove CDP, Oregon",Hispanic,NA,15.60,NA
4112850,"Cherry Grove CDP, Oregon",Native,NA,0.00,NA
4112850,"Cherry Grove CDP, Oregon",Two_races,NA,8.81,NA
4112850,"Cherry Grove CDP, Oregon",White,NA,79.63,NA
4115550,"Cornelius city, Oregon",Asian,1.76,1.90,0.14
4115550,"Cornelius city, Oregon",Black,0.26,1.32,1.06
4115550,"Cornelius city, Oregon",HIPI,0.00,0.00,0.00
4115550,"Cornelius city, Oregon",Hispanic,51.67,50.77,-0.90
4115550,"Cornelius city, Oregon",Native,0.33,0.12,-0.22
4115550,"Cornelius city, Oregon",Two_races,6.61,4.67,-1.94
4115550,"Cornelius city, Oregon",White,41.60,42.98,1.38
4117800,"Damascus CDP, Oregon",Asian,NA,5.33,NA
4117800,"Damascus CDP, Oregon",Black,NA,0.06,NA
4117800,"Damascus CDP, Oregon",HIPI,NA,0.17,NA
4117800,"Damascus CDP, Oregon",Hispanic,NA,5.51,NA
4117800,"Damascus CDP, Oregon",Native,NA,0.23,NA
4117800,"Damascus CDP, Oregon",Two_races,NA,3.39,NA
4117800,"Damascus CDP, Oregon",White,NA,84.91,NA
4117800,"Damascus city, Oregon",Asian,2.27,NA,NA
4117800,"Damascus city, Oregon",Black,0.84,NA,NA
4117800,"Damascus city, Oregon",HIPI,0.15,NA,NA
4117800,"Damascus city, Oregon",Hispanic,5.17,NA,NA
4117800,"Damascus city, Oregon",Native,1.57,NA,NA
4117800,"Damascus city, Oregon",Two_races,4.05,NA,NA
4117800,"Damascus city, Oregon",White,87.45,NA,NA
4119650,"Dilley CDP, Oregon",Asian,NA,0.00,NA
4119650,"Dilley CDP, Oregon",Black,NA,0.00,NA
4119650,"Dilley CDP, Oregon",HIPI,NA,0.00,NA
4119650,"Dilley CDP, Oregon",Hispanic,NA,0.00,NA
4119650,"Dilley CDP, Oregon",Native,NA,0.00,NA
4119650,"Dilley CDP, Oregon",Two_races,NA,0.00,NA
4119650,"Dilley CDP, Oregon",White,NA,100.00,NA
4121215,"Dunthorpe CDP, Oregon",Asian,NA,5.56,NA
4121215,"Dunthorpe CDP, Oregon",Black,NA,0.00,NA
4121215,"Dunthorpe CDP, Oregon",HIPI,NA,0.11,NA
4121215,"Dunthorpe CDP, Oregon",Hispanic,NA,1.53,NA
4121215,"Dunthorpe CDP, Oregon",Native,NA,0.00,NA
4121215,"Dunthorpe CDP, Oregon",Two_races,NA,4.54,NA
4121215,"Dunthorpe CDP, Oregon",White,NA,88.42,NA
4121250,"Durham city, Oregon",Asian,3.11,6.85,3.74
4121250,"Durham city, Oregon",Black,2.82,1.78,-1.04
4121250,"Durham city, Oregon",HIPI,3.46,2.70,-0.76
4121250,"Durham city, Oregon",Hispanic,12.21,28.17,15.96
4121250,"Durham city, Oregon",Native,0.21,0.24,0.03
4121250,"Durham city, Oregon",Two_races,7.27,12.06,4.79
4121250,"Durham city, Oregon",White,72.90,55.04,-17.86
4123800,"Estacada city, Oregon",Asian,0.16,1.56,1.40
4123800,"Estacada city, Oregon",Black,0.00,0.05,0.05
4123800,"Estacada city, Oregon",HIPI,0.00,0.00,0.00
4123800,"Estacada city, Oregon",Hispanic,8.65,0.99,-7.67
4123800,"Estacada city, Oregon",Native,0.00,1.52,1.52
4123800,"Estacada city, Oregon",Two_races,3.93,4.62,0.68
4123800,"Estacada city, Oregon",White,87.28,92.26,4.98
4124250,"Fairview city, Oregon",Asian,2.50,0.12,-2.37
4124250,"Fairview city, Oregon",Black,4.60,11.38,6.78
4124250,"Fairview city, Oregon",HIPI,0.00,3.36,3.36
4124250,"Fairview city, Oregon",Hispanic,13.19,20.13,6.94
4124250,"Fairview city, Oregon",Native,2.65,1.00,-1.65
4124250,"Fairview city, Oregon",Two_races,3.92,4.70,0.79
4124250,"Fairview city, Oregon",White,75.17,58.55,-16.62
4126200,"Forest Grove city, Oregon",Asian,3.48,1.99,-1.49
4126200,"Forest Grove city, Oregon",Black,0.50,0.96,0.46
4126200,"Forest Grove city, Oregon",HIPI,0.09,0.00,-0.09
4126200,"Forest Grove city, Oregon",Hispanic,22.30,27.67,5.37
4126200,"Forest Grove city, Oregon",Native,0.00,0.21,0.21
4126200,"Forest Grove city, Oregon",Two_races,5.61,9.67,4.05
4126200,"Forest Grove city, Oregon",White,68.84,65.30,-3.54
4127825,"Garden Home-Whitford CDP, Oregon",Asian,2.11,3.79,1.67
